ra,dec,mag,ci,name
12.098111,-65.54722,6.33,0.220,
12.099083,-35.69389,6.23,-0.080,
12.099944,-3.13167,6.37,1.000,
12.105500,-68.65083,6.23,1.240,
12.106417,-65.70917,6.06,0.650,
12.114694,-64.61361,4.15,0.340,
12.130500,-75.36694,5.18,1.300,
12.134778,-50.66139,4.47,-0.150,
12.134667,-50.76333,6.37,-0.050,
12.137417,-48.69278,5.34,-0.010,
12.139306,-50.72250,2.60,-0.120,
12.140167,-60.84722,6.22,1.740,
12.140222,-24.72889,4.02,0.320,Alchiba
12.148278,-44.32611,5.75,0.240,
12.148472,-41.23139,5.48,-0.070,
12.161472,1.89778,5.95,1.120,
12.163139,74.66139,6.35,0.500,
12.167361,-34.70500,6.17,0.030,
12.167611,5.80694,5.72,0.350,
12.168750,-22.61972,3.00,1.330,
12.176056,-37.87028,6.06,0.200,
12.175444,16.80917,6.39,0.060,
12.179472,27.28139,6.01,0.110,
12.184694,-61.27750,6.08,0.390,
12.184417,-23.60250,5.46,0.060,
12.192056,-51.35944,6.23,0.820,
12.194194,-52.36861,3.96,-0.150,
12.183333,81.71000,6.00,1.620,
12.197556,25.87028,5.66,1.410,
12.195806,57.05444,6.43,0.000,
12.200333,28.53611,6.49,0.360,
12.202583,20.54194,5.57,0.950,
12.206111,-62.95083,5.92,0.290,
12.213000,-70.15194,6.17,0.840,
12.203306,77.61639,5.14,0.330,
12.220278,-34.12556,6.50,1.660,
12.223694,-38.92917,5.76,-0.130,
12.232139,-78.57361,6.35,1.240,
12.223861,10.26222,5.85,0.270,
12.226861,-33.79278,6.33,0.080,
12.234056,-45.72389,5.31,1.430,
12.238000,-64.40861,6.22,0.120,
12.245389,53.43472,6.16,1.040,
12.249889,-20.84417,5.83,1.050,
12.252417,-58.74889,2.80,-0.230,Imai
12.252944,-10.31250,6.11,0.460,
12.258472,-41.91306,6.26,1.010,
12.252361,70.20000,5.71,1.190,
12.257111,57.03250,3.31,0.080,Megrez
12.263444,-17.54194,2.59,-0.110,Gienah
12.266722,14.89889,5.10,0.060,
12.273194,-72.61472,6.22,-0.010,
12.261500,72.55083,6.29,1.140,
12.268778,40.66028,5.66,1.550,
12.272361,23.94528,4.95,0.970,
12.275028,33.06139,5.00,1.140,
12.285000,-65.69278,6.06,0.030,
12.284250,-16.69361,6.05,0.100,
12.292806,-67.96083,4.11,1.580,
12.291528,53.19111,5.81,1.300,
12.291806,28.93722,5.70,0.160,
12.305750,-79.31222,4.26,-0.120,
12.296472,-36.09389,6.15,0.010,
12.295639,15.14417,6.34,1.370,
12.307250,-64.00306,4.04,-0.170,
12.308778,30.24917,6.23,0.300,
12.311194,-0.78722,5.90,0.170,
12.316583,-55.14306,5.00,1.590,
12.280944,86.43611,6.33,0.430,
12.317250,26.00778,6.48,0.180,
12.321972,23.03472,6.27,0.170,
12.255639,87.70000,6.28,0.350,
12.313861,75.16056,5.38,-0.020,
12.324889,28.15694,6.33,0.500,
12.331778,-0.66694,3.89,0.020,Zaniah
12.330194,48.98417,5.29,1.660,
12.336306,-22.17556,5.97,0.820,
12.341111,-65.84278,6.21,-0.040,
12.338806,26.61944,5.54,1.090,
12.338250,26.00194,6.15,0.300,
12.339167,3.31250,4.96,1.160,
12.342694,-22.21583,5.21,-0.100,
12.345278,17.79278,4.74,1.010,
12.348806,-13.56556,5.14,1.050,
12.356000,-60.40111,3.59,1.420,Ginan
12.347444,57.86389,5.55,1.430,
12.365972,-56.37472,5.92,1.570,
12.368694,-67.52194,5.15,0.190,
12.369972,-68.30750,5.74,1.040,
12.369667,24.77389,6.19,-0.010,
12.380361,-57.67611,5.39,-0.100,
12.375083,25.84611,4.81,0.490,
12.375556,5.30556,6.40,0.600,
12.427083,-86.15056,6.33,1.080,
12.387167,-67.63167,6.36,0.890,
12.389333,-24.84056,5.68,1.160,
12.393167,-35.41278,5.32,-0.080,
12.393583,-39.30306,6.40,0.290,
12.395806,-38.91111,5.79,-0.080,
12.396389,42.54278,6.06,0.330,
12.400417,51.56222,4.80,0.870,
12.405139,26.09861,5.18,0.080,
12.412417,-41.38417,6.25,1.180,
12.407417,25.58278,6.42,0.270,
12.421472,-65.77056,6.30,0.960,
12.419028,-42.51444,6.11,0.650,
12.419917,-11.61028,5.95,0.030,
12.421778,-27.74917,6.09,1.270,
12.422722,-35.18639,5.73,-0.060,
12.420861,23.92611,6.03,1.100,
12.417556,56.77750,5.81,1.620,
12.418444,63.80278,6.32,0.910,
12.430806,39.01861,5.02,0.960,
12.441917,-63.12250,4.86,-0.120,
12.443306,-63.09917,1.33,-0.240,Acrux
12.443472,-63.09944,1.73,-0.260,Acrux
12.442111,-51.45083,4.82,-0.140,
12.440028,27.26833,4.95,0.270,
12.446722,-48.91333,6.26,0.680,
12.447694,-32.83000,5.55,0.010,
12.456833,-63.78917,6.00,0.070,
12.448972,28.26833,4.36,1.130,
12.449806,26.82556,5.00,0.080,
12.457972,-58.99194,5.50,1.450,
12.440056,71.92972,6.24,1.060,
12.461694,8.61028,6.37,0.930,
12.463722,-16.63194,6.35,0.840,
12.467333,-50.23056,3.91,-0.190,
12.471917,-64.34139,6.04,0.020,
12.459750,55.71278,5.70,1.550,
12.464333,-4.61528,6.22,0.440,
12.473750,-61.79528,6.22,1.260,
12.472917,-39.04139,5.44,-0.080,
12.475944,-56.40778,6.15,0.920,
12.481861,25.91278,5.29,-0.050,
12.490806,24.10889,5.48,0.430,
12.498306,-56.52472,5.80,1.560,
12.499417,-41.73611,6.02,1.520,
12.495333,20.89611,5.69,0.070,
12.497750,-16.51556,2.95,-0.050,Algorab
12.501333,-13.39306,6.35,0.560,
12.504861,-23.69667,5.63,1.670,
12.499250,58.40583,5.35,0.200,
12.500806,51.53556,6.21,0.510,
12.501194,58.76750,6.08,0.980,
12.519417,-57.11333,1.63,1.590,Gacrux
12.521306,-57.08111,6.42,0.160,
12.501861,69.20111,4.95,1.620,
12.516833,24.56722,5.46,0.050,
12.513917,53.07667,6.21,0.540,
12.527861,-59.42389,5.48,0.630,
12.536111,-73.00167,5.88,1.110,
12.522611,7.60417,6.05,1.520,
12.532167,-63.50611,5.95,0.270,
12.527417,-5.05250,6.19,1.040,
12.541111,-72.13306,3.87,-0.150,
12.534583,-32.53361,6.46,0.200,
12.534500,-16.19611,4.31,0.380,
12.543333,-13.85917,5.74,0.400,
12.550806,10.29556,6.26,0.950,
12.556222,-19.79194,6.26,0.290,
12.559528,-12.83028,5.58,0.860,
12.559500,24.28306,6.29,0.110,
12.563000,-9.45194,5.48,-0.030,
12.566444,-49.90944,6.38,0.460,
12.560806,33.24750,5.42,1.000,
12.563167,33.38472,6.24,1.050,
12.562361,41.35750,4.26,0.590,Chara
12.573111,-23.39667,2.65,0.890,Kraz
12.558056,69.78833,3.87,-0.130,
12.578417,-44.67333,5.77,0.700,
12.580861,22.62917,4.81,0.000,
12.591389,-61.84194,6.22,0.730,
12.585500,18.37694,5.02,1.150,
12.585583,21.88139,5.85,1.220,
12.595972,-41.02194,5.13,0.220,
12.578889,70.02194,4.94,1.310,
12.600333,-39.87000,5.80,0.010,
12.599611,-20.52722,6.20,0.330,
12.619722,-69.13556,2.69,-0.200,
12.613167,-5.83194,5.87,0.070,
12.606472,59.48694,5.50,0.000,
12.616194,17.08944,5.68,1.410,
12.628389,-48.54111,3.86,0.050,
12.628389,-27.13889,5.45,0.320,
12.654028,-75.36944,6.49,0.080,
12.634556,3.28250,6.33,0.010,
12.647917,-67.19306,6.25,0.060,
12.639556,1.85472,5.71,1.600,
12.645722,-18.25028,6.00,0.290,
12.650972,-30.42222,5.89,1.210,
12.646194,40.87444,6.37,0.180,
12.650583,22.65944,6.38,1.100,
12.654111,-7.99556,4.66,1.230,
12.665444,-66.51167,6.26,-0.050,
12.652028,21.06250,5.46,0.960,
12.654694,35.95194,6.45,0.060,
12.664583,-39.98750,4.64,-0.080,
12.689722,-46.14556,5.84,1.520,
12.691944,-48.95972,2.17,-0.010,
12.701417,-69.40750,6.33,0.780,
12.687778,-13.01361,6.08,0.000,
12.687833,-13.01500,5.98,0.420,
12.699056,-59.68583,4.93,-0.040,
12.692889,10.42639,6.19,0.190,
12.694333,-1.44944,3.65,0.360,Porrima
12.694333,-1.44944,3.68,0.000,Porrima
12.697000,-19.75861,6.03,0.390,
12.698083,10.23556,4.88,0.090,
12.699194,6.80667,5.59,0.000,
12.713972,-63.05861,5.31,0.270,
12.709833,-48.81306,4.66,1.090,
12.713778,-55.94722,6.08,-0.030,
12.692750,62.71306,6.07,0.010,
12.719194,-56.17611,6.00,-0.080,
12.724500,-58.90306,6.40,1.090,
12.723972,-40.17778,6.44,0.250,
12.727250,-1.57694,5.93,0.860,
12.732972,-36.34917,6.39,-0.060,
12.733472,-28.32389,5.48,1.340,
12.717833,61.15556,6.38,1.260,
12.750472,-68.83111,6.16,0.690,
12.760528,-60.98111,4.69,1.050,
12.740861,44.10306,6.33,0.430,
12.771361,-68.10806,3.05,-0.180,
12.749861,39.27889,5.95,0.550,
12.752167,45.44028,4.99,2.540,La Superba
12.760306,7.67333,5.22,0.330,
12.772972,-56.48889,4.65,-0.160,
12.772917,9.54000,5.67,0.990,
12.779444,-33.31556,5.86,1.340,
12.777417,16.57750,5.12,1.350,
12.740556,80.62111,6.40,0.120,
12.795333,-59.68861,1.25,-0.230,Mimosa
12.783972,5.95083,6.34,-0.050,
12.787111,11.95806,6.07,0.120,
12.792611,-6.30194,6.26,0.550,
12.798250,-24.85167,6.44,-0.060,
12.797611,3.57278,6.41,1.600,
12.788583,62.78083,5.89,0.000,
12.807333,-27.59750,5.66,0.950,
12.829139,-71.98639,5.55,1.170,
12.792889,66.79028,5.43,1.560,Tianyi
12.813056,24.84028,6.31,0.700,
12.815056,14.12250,5.70,0.020,
12.811611,48.46694,6.27,0.180,
12.810944,60.32000,5.85,0.460,
12.821500,27.55222,5.78,0.030,
12.916278,-85.12333,5.46,1.020,
12.838778,-48.45972,6.24,0.050,
12.849417,-52.78750,5.73,0.130,
12.838167,22.86333,6.43,1.000,
12.844778,-33.99944,4.91,-0.040,
12.836306,37.51694,5.89,0.150,
12.854944,-60.32972,5.72,0.380,
12.856361,-10.33833,6.41,1.020,
12.860250,3.05667,6.02,1.290,
12.865778,-39.68083,5.98,-0.100,
12.868139,-48.09417,6.33,0.030,
12.866083,-26.73806,6.15,0.230,
12.873500,-53.82944,6.24,1.130,
12.861639,27.54056,4.94,0.670,
12.870083,17.07389,6.32,1.590,
12.884417,-54.95250,5.93,1.310,
12.874333,16.12250,6.30,0.160,
12.889389,-60.32861,5.76,0.330,
12.885250,-48.94333,4.33,1.370,
12.890611,-40.17889,4.27,0.210,
12.896972,-60.37694,5.90,0.200,
12.886444,-3.55306,6.11,0.500,
12.818500,83.41806,5.85,-0.060,
12.820444,83.41278,5.28,-0.030,
12.888278,21.24500,4.90,0.900,
12.893917,-4.22389,6.44,1.100,
12.910889,-59.14667,4.62,-0.150,
12.909889,-57.17778,4.03,-0.170,
12.910222,-57.16833,5.17,-0.120,
12.897139,12.41861,6.25,0.270,
12.905194,-11.64861,6.00,0.080,
12.905889,-9.53889,4.79,1.600,
12.916250,-44.15194,5.89,0.640,
12.903639,33.53444,6.26,0.200,
12.900472,55.95972,1.77,-0.020,Alioth
12.922056,-42.91583,5.47,1.680,
12.942083,-72.18528,5.93,1.130,
12.932500,-56.83611,5.32,0.010,
12.915694,47.19667,5.84,1.550,
12.926722,3.39750,3.38,1.580,Minelauva
12.931472,-15.32694,6.17,0.000,
12.951222,-51.19861,5.16,-0.060,
12.933444,38.31472,5.60,0.340,Cor Caroli
12.933806,38.31833,2.90,-0.120,Cor Caroli
12.924583,65.43861,5.24,0.280,Taiyi
12.938222,54.09944,5.82,0.190,
12.959222,-22.75389,6.31,1.070,
12.952139,46.17694,6.12,1.010,
12.982056,17.40944,4.78,1.560,
12.994306,-3.81194,5.79,0.180,
13.009056,-33.50528,6.02,0.380,
13.037833,-71.54889,3.62,1.180,
13.004583,30.78500,4.90,1.170,
13.009972,-3.36861,5.99,1.120,
13.010778,18.37306,6.20,0.420,
12.979806,75.47250,6.01,0.990,
12.998639,66.59722,5.32,1.290,
13.019333,17.12306,5.96,0.960,
13.051444,-71.47611,6.03,0.050,
13.012167,56.36639,4.93,0.360,
13.036278,10.95917,2.83,0.940,Vindemiatrix
13.059222,-49.52722,4.85,0.020,
13.029667,63.61028,6.00,0.410,
13.062806,-20.58306,5.58,0.560,
13.080028,-41.19667,6.26,1.680,
13.091889,-52.11500,6.43,1.700,
13.104639,-48.46361,4.71,-0.140,
13.109750,-41.58861,5.59,1.050,
13.115167,-49.90611,4.27,-0.190,
13.095694,35.79889,5.25,-0.080,
13.123389,-59.86056,5.99,0.480,
13.097861,45.26861,5.63,1.130,
13.105889,21.15333,5.99,0.390,
13.106278,22.61611,5.60,1.590,
13.080472,73.02528,6.31,0.000,
13.127306,-53.45972,5.71,-0.070,
13.135278,-65.30639,5.51,-0.020,
13.106306,62.04194,6.14,0.990,
13.119639,27.62472,4.80,1.480,
13.131611,-10.74028,5.19,1.140,
13.131556,27.55583,6.19,1.360,
13.142361,-8.98444,5.55,1.180,
13.150917,-23.11806,4.95,1.050,
13.154000,-9.53833,6.32,1.020,
13.153444,10.02222,5.78,1.000,
13.162583,-10.32944,5.94,1.490,
13.163278,16.84861,5.91,1.450,
13.165833,-5.53889,4.38,-0.010,
13.160750,37.42306,6.02,1.150,
13.182889,-52.56694,6.06,-0.090,
13.197667,-69.94194,5.91,0.420,
13.161667,38.53389,6.28,-0.120,
13.166472,17.52944,5.22,0.450,Diadem
13.166472,17.52944,5.22,0.000,Diadem
13.185778,-42.23306,5.79,0.520,
13.167556,38.49889,5.91,0.290,
13.198083,-63.30278,6.33,0.440,
13.189778,-43.36889,5.25,1.050,
13.204833,-59.92083,4.60,-0.080,
13.238111,-78.44722,5.85,1.070,
13.213583,-66.22694,5.90,0.060,
13.194222,-26.55167,6.50,0.190,
13.200889,-37.80306,4.85,0.700,
13.215556,-59.81667,6.16,0.600,
13.200972,-16.19861,5.04,0.460,
13.214139,-42.69972,6.22,1.060,
13.197889,27.87806,4.26,0.570,
13.202333,24.25806,6.33,0.980,
13.223194,-50.70000,5.89,-0.020,
13.209139,11.55611,5.77,1.510,
13.236694,-58.68389,5.89,1.080,
13.237444,-59.10333,4.92,0.480,
13.224111,-18.82667,6.28,0.090,
13.232639,-43.13889,6.16,1.380,
13.220111,18.72694,6.11,1.200,
13.254139,-67.89444,4.80,-0.080,
13.257139,-69.67972,6.37,1.210,
13.236361,-19.93083,5.33,0.870,
13.245306,-48.95667,5.89,1.060,
13.228611,40.15278,4.92,1.060,
13.242028,11.33167,5.67,1.500,
13.252694,-36.37111,6.19,0.970,
13.279111,-65.13833,6.07,0.440,
13.266333,-19.94306,5.22,1.030,
13.286944,-66.78361,4.87,1.500,
13.258889,40.85528,5.79,0.190,
13.281417,-31.50611,5.10,0.960,
13.270639,19.05167,6.45,0.980,
13.287194,-43.97944,5.84,0.200,
13.207056,80.47139,6.25,0.940,
13.275639,19.78528,6.45,0.250,
13.279583,9.42417,5.22,0.590,
13.321917,-72.03556,6.04,1.350,
13.287667,13.67556,5.33,1.310,
13.291639,-0.67667,6.37,0.260,
13.293417,5.46972,4.80,1.670,
13.309611,-51.28611,6.19,0.010,
13.292361,40.57250,4.73,0.300,
13.274611,68.40806,6.20,-0.060,
13.306750,-18.31139,4.74,0.710,
13.315361,-23.17167,3.00,0.920,
13.307722,34.09806,5.82,1.350,
13.304028,49.68194,5.15,-0.070,
13.343028,-59.77333,6.18,0.430,
13.317833,35.12806,6.02,0.240,
13.343833,-52.74806,5.48,-0.130,
13.346750,-55.80056,6.02,0.290,
13.343278,-36.71222,2.75,0.040,
13.349361,-46.88056,5.77,1.120,
13.381278,-72.14667,6.05,0.090,
13.344889,2.94167,6.26,0.100,
13.338611,40.15056,5.60,1.200,
13.358306,-19.48889,6.21,0.090,
13.376583,-60.97222,6.18,0.010,
13.377194,-60.98833,4.53,-0.130,
13.371167,-52.18306,5.83,0.120,
13.361556,2.08722,5.69,0.060,
13.381306,-47.94306,6.16,0.180,
13.384056,-48.56278,6.38,-0.070,
13.369361,5.15472,5.87,0.120,
13.400139,-64.53583,4.53,0.850,
13.418639,-74.88778,5.05,1.110,
13.385750,-33.19000,6.22,1.650,
13.383639,-17.73528,5.37,0.990,
13.367722,43.90306,6.35,0.240,
13.397861,-49.82306,6.48,0.960,
13.388583,-4.92444,5.89,1.430,
13.420528,-64.48528,5.31,0.400,
13.430583,-70.62750,5.67,-0.030,
13.409222,-5.16389,5.75,0.420,
13.398333,37.03389,6.07,1.680,
13.408472,12.43194,6.44,1.060,
13.398750,54.92528,2.27,0.020,Mizar
13.399000,54.92167,3.95,0.130,Mizar
13.419889,-11.16139,0.98,-0.230,Spica
13.418528,23.85444,5.78,0.060,
13.435500,-39.75528,5.09,1.200,
13.436500,-1.19250,5.97,0.190,
13.448917,-41.49806,5.69,1.470,
13.451750,-49.14389,6.31,0.000,
13.420417,54.98806,4.01,0.160,Alcor
13.455778,-49.38083,6.28,-0.120,
13.445333,-12.70778,5.25,1.520,
13.454083,-40.16306,6.40,0.980,
13.479556,-69.62806,6.20,0.020,
13.437944,46.02806,5.88,0.970,
13.457556,-15.97361,4.76,1.090,
13.485444,-64.67583,6.11,0.110,
13.433306,63.26111,6.50,0.740,
13.490333,-51.16528,5.06,0.070,
13.473833,13.77889,4.98,0.710,
13.435583,72.39139,5.79,1.630,
13.466528,52.74583,6.34,0.230,
13.473944,40.72972,6.47,0.920,
13.487472,-1.36444,6.43,1.110,
13.495222,-23.28139,4.97,1.600,
13.486944,10.81833,5.65,1.050,
13.554111,-77.56833,6.48,0.480,
13.479361,50.71833,6.43,0.370,
13.682083,-85.78611,5.58,0.180,
13.474194,59.94583,5.40,-0.010,
13.500028,7.17889,6.17,1.470,
13.507139,-6.47028,6.09,0.330,
13.517417,-39.40750,3.88,1.170,
13.525917,-28.11278,6.47,0.100,
13.449083,78.64389,5.77,0.770,
13.534806,-38.39917,6.16,1.040,
13.559917,-65.63250,6.37,-0.020,
13.534111,-18.72889,6.01,0.180,
13.532750,-6.25583,4.69,1.620,
13.521056,42.10611,6.08,1.050,
13.543306,-28.69278,5.69,0.040,
13.542917,-29.56528,6.45,0.440,
13.547694,-15.36306,5.55,1.230,
13.549472,-10.16500,5.21,0.960,
13.546694,24.34639,6.11,0.960,
13.574694,-48.27222,6.33,-0.050,
13.578778,-33.31083,6.44,1.260,
13.568861,3.65889,4.94,0.030,
13.577917,-13.21444,5.91,0.020,
13.578222,-0.59583,3.37,0.110,Heze
13.572722,38.78917,6.37,0.210,
13.568694,55.34861,5.60,-0.030,
13.579944,37.18250,4.98,0.400,
13.592028,-5.39611,5.73,0.950,
13.574250,49.01611,4.70,0.120,
13.620056,-61.69194,5.63,0.500,
13.592583,10.20472,6.49,1.030,
13.653306,-75.68389,6.34,0.010,
13.614028,-34.46778,6.50,1.030,
13.618333,-44.14333,5.98,0.940,
13.646028,-70.44500,6.10,1.420,
13.613444,-26.49500,5.78,0.220,
13.623250,-46.42833,5.90,-0.120,
13.635444,-58.41500,6.42,1.120,
13.616417,24.61333,5.74,1.550,
13.646972,-57.62306,6.01,1.140,
13.611056,49.48667,6.49,0.000,
13.624333,36.29500,4.82,0.230,
13.645000,-29.56083,5.83,0.400,
13.669694,-64.57694,5.79,0.390,
13.664778,-53.46639,2.30,-0.220,
13.628611,50.71472,6.48,1.550,
13.666583,-49.95028,6.00,1.500,
13.661333,-39.74806,6.27,1.660,
13.663500,-40.05194,5.60,1.300,
13.650639,18.26528,6.48,1.200,
13.659611,10.74611,5.57,0.330,
13.619722,71.24222,5.50,1.200,
13.700306,-58.78722,5.38,-0.030,
13.695750,-54.56000,5.01,-0.050,
13.658444,52.92139,5.46,0.100,
13.671000,31.01194,6.21,0.960,
13.677917,19.95556,5.75,0.010,
13.677528,28.06528,6.23,1.280,
13.696028,-33.59694,6.05,1.440,
13.673111,50.51944,6.32,0.540,
13.683972,22.49583,5.62,1.010,
13.693556,-8.70306,5.01,1.630,
13.715583,-56.76806,6.00,-0.080,
13.715167,-50.79056,6.41,1.670,
13.672583,57.20750,6.29,0.100,
13.678972,54.68167,4.66,1.640,
13.715278,-41.40111,5.98,1.020,
13.703528,8.38833,6.16,0.420,
13.727778,-42.06750,5.98,-0.080,
13.737750,-51.01306,6.47,-0.130,
13.717694,3.53806,5.36,1.110,
13.708000,41.67417,6.30,0.860,
13.712056,34.98889,5.98,0.850,
13.691639,64.82250,5.85,0.070,
13.729222,22.70028,6.13,1.420,
13.741611,-16.17917,5.60,0.810,
13.746028,-25.50083,6.21,1.380,
13.760250,-26.11611,5.81,0.020,
13.761444,-33.04389,4.23,0.380,
13.731861,52.06444,6.02,0.000,
13.759750,-15.76750,6.19,0.050,
13.777583,-51.43278,4.65,0.960,
13.765639,-12.42667,5.51,0.900,
13.782333,-36.25194,5.15,-0.020,
13.791000,-50.24944,5.91,0.290,
13.794000,-50.32111,5.45,1.360,
13.753667,55.87944,6.50,0.470,
13.787083,-9.70917,6.05,1.420,
13.770417,41.08861,5.87,0.210,
13.771944,38.50389,5.94,0.940,
13.790389,-17.86000,5.43,1.620,
13.778694,25.70222,5.95,0.490,
13.782528,6.35056,6.33,0.630,
13.710917,78.06444,5.91,1.010,
13.787694,17.45667,4.50,0.480,
13.783278,38.54278,5.50,1.030,
13.776583,54.43278,5.70,-0.080,
13.927417,-82.66611,5.95,1.460,
13.825083,-41.68778,3.41,-0.220,
13.792333,49.31333,1.86,-0.190,Alkaid
13.824083,-34.45083,4.19,1.500,
13.826944,-42.47389,3.04,-0.170,
13.863167,-69.40139,5.75,1.730,
13.810750,31.19028,5.62,1.010,
13.831194,-18.13417,4.97,1.060,
13.835139,-29.08139,6.18,-0.030,
13.838722,-39.90111,6.44,0.990,
13.824611,15.79778,4.07,1.520,
13.828556,21.26417,4.91,1.430,
13.706417,82.75250,5.98,1.010,
13.829167,36.63278,6.38,0.000,
13.840194,5.49722,6.01,0.900,
13.863111,-46.89917,5.77,-0.160,
13.868000,-52.81167,5.25,-0.090,
13.860167,-36.43333,6.35,0.480,
13.855667,-24.39083,6.45,0.690,
13.863778,-32.99444,4.56,-0.130,
13.863917,-32.99472,6.06,-0.040,
13.866917,-31.61944,6.12,0.480,
13.829306,61.48917,5.96,0.960,
13.852556,34.66444,5.87,1.620,
13.841028,58.53944,6.46,0.090,
13.895306,-53.37361,5.89,0.010,
13.913583,-67.65250,5.71,1.490,
13.863194,34.44417,4.74,1.660,
13.871778,12.16528,6.04,0.040,
13.886806,-31.92778,4.73,-0.140,
13.892444,-35.66417,5.54,0.440,
13.899139,-47.12806,6.10,-0.070,
13.897833,-35.31444,6.19,1.020,
13.886917,17.93278,5.70,0.840,
13.857194,64.72333,4.65,1.580,
13.849778,68.31528,6.40,1.170,
13.904611,-28.56972,6.04,1.130,
13.886194,28.64806,5.90,0.200,
13.920056,-52.16111,5.71,-0.080,
13.925667,-47.28833,2.55,-0.220,
13.911694,-1.50306,5.15,1.080,
13.916167,-8.05889,6.19,0.530,
13.938833,-54.13194,6.14,0.070,
13.911417,18.39778,2.68,0.580,Muphrid
13.942500,-54.70444,6.00,0.780,
13.897500,53.72861,5.70,-0.050,
13.938750,-46.59250,5.83,1.140,
14.009111,-78.59000,6.09,0.030,
13.960806,-63.68667,4.71,1.110,
13.975333,-65.80056,6.20,1.050,
13.930556,14.05639,6.16,0.500,
13.941083,1.05056,5.91,0.200,
13.936250,32.03250,6.32,0.370,
13.957694,-23.02278,6.14,1.430,
13.942833,27.49194,5.01,1.420,
13.971194,-42.10083,3.83,-0.210,
13.978000,-44.80361,3.87,-0.200,
13.975306,-24.97222,5.15,-0.100,
13.988139,-50.37000,5.91,0.960,
14.004806,-61.48139,6.49,0.330,
14.014500,-66.26861,5.97,0.350,
13.977750,14.64944,6.00,1.440,
13.977472,21.69611,5.76,-0.030,
13.958917,61.49278,6.37,0.000,
14.000028,-25.01028,5.77,0.480,
13.997028,-3.54972,6.40,0.490,
14.021944,-40.22222,6.13,1.250,
14.028722,-45.60361,4.34,0.600,
14.088833,-76.79667,5.50,1.550,
14.022333,8.89472,5.99,0.090,
14.019583,27.38667,6.23,0.170,
14.027444,1.54444,4.26,0.100,
14.039667,-27.43000,5.48,1.340,
14.057278,-56.21361,5.92,1.220,
14.063722,-60.37306,0.61,-0.230,Hadar
14.050472,-31.68389,6.18,0.480,
14.057639,-41.42333,6.11,-0.110,
14.042167,9.68639,6.20,0.900,
14.036722,45.75361,6.27,1.320,
14.064750,-22.42167,6.30,0.450,
14.058972,10.78667,6.30,0.740,
14.060222,7.54639,6.26,0.940,
14.065500,4.90083,6.24,0.390,
14.070722,-5.38139,6.39,1.320,
14.074167,-14.97167,6.28,1.080,
14.096250,-54.66944,6.17,0.230,
14.140861,-74.85028,6.02,0.580,
14.049917,50.97194,6.15,0.010,
14.106972,-59.71556,6.42,0.120,
14.030722,68.67861,6.34,1.400,
14.077083,2.29750,6.28,1.020,
14.100778,-41.17972,4.36,-0.190,
14.103028,-43.09194,6.20,0.980,
14.106194,-26.68250,3.27,1.120,
14.111389,-36.37000,2.06,1.010,Menkent
14.137306,-63.20806,6.40,1.020,
14.111889,-9.31333,5.46,0.340,
14.073139,64.37583,3.65,-0.050,Thuban
14.148972,-59.27667,6.34,0.050,
14.175250,-70.30556,6.05,1.740,
14.147750,-43.47111,6.17,-0.060,
14.183861,-69.71972,6.06,0.180,
14.159722,-51.50472,6.00,-0.060,
14.165222,-53.43917,4.75,0.940,
14.150167,-10.33444,6.47,1.000,
14.132167,43.85444,5.27,1.590,
14.138139,49.45806,5.25,1.650,
14.180694,-16.30194,4.91,1.720,
14.146111,59.33778,6.46,1.020,
14.303833,-81.00778,4.91,0.250,
14.173306,25.09167,4.83,0.540,
14.115667,74.59361,6.45,0.140,
14.281917,-77.66389,6.47,1.420,
14.192000,1.36222,6.43,0.480,
14.221222,-53.66583,5.56,1.440,
14.206806,-24.36417,6.34,1.350,
14.187528,32.29556,6.11,1.260,
14.227750,-54.62583,6.11,0.050,
14.212778,-27.26111,5.08,1.160,
14.204389,2.40944,5.01,-0.120,
14.220333,-26.61222,6.24,1.080,
14.214944,-10.27361,4.19,1.330,Kang
14.249167,-57.08583,5.07,-0.080,
14.228000,-0.84556,5.91,0.470,
14.245167,-41.83750,5.61,0.930,
14.255889,-53.50972,6.39,1.570,
14.277389,-66.58778,5.75,-0.060,
14.147472,77.54750,4.82,1.360,
14.239250,-5.94750,6.36,0.600,
14.234778,12.95944,5.54,0.540,
14.250361,-29.28194,6.08,0.000,
14.260778,-45.00083,6.31,0.600,
14.276167,-59.91389,6.39,2.040,
14.406472,-82.84861,6.42,0.020,
14.224722,51.79028,4.54,0.200,
14.247444,10.10056,5.29,1.000,
14.248056,3.33611,6.45,1.600,
14.256694,-18.20083,5.43,-0.030,
14.244722,21.87333,6.39,0.180,
14.201111,69.43250,5.24,1.580,
14.239861,41.51889,6.24,1.040,
14.372972,-80.10889,5.06,-0.100,
14.266917,-6.00056,4.08,0.520,Syrma
14.448583,-83.66778,4.32,1.310,
14.261028,19.18250,-0.04,1.230,Arcturus
14.272639,-6.62194,6.44,0.280,
14.275028,-3.19639,6.15,-0.010,
14.267833,18.91194,5.98,0.260,
14.284389,-18.58528,6.22,0.980,
14.275778,20.12139,6.25,0.490,
14.273389,39.74472,6.38,0.360,
14.330972,-61.27306,5.23,0.290,
14.269417,51.36722,4.75,0.200,
14.273056,46.08833,4.18,0.080,Xuange
14.291222,15.26333,5.80,1.710,
14.300167,-7.54250,6.47,0.730,
14.323389,-46.05778,3.55,-0.180,
